# sgiT Education - CSV Import Template v2.0
# ============================================================================
# WICHTIG: Dieses Template enthält die korrekte Alterszuordnung gemäß 
# dem Altersguide (docs/ALTERSGUIDE.md)
# ============================================================================
#
# SPALTEN:
# module,question,answer,wrong1,wrong2,wrong3,explanation,difficulty,age_min,age_max,source
#
# REGELN FÜR age_min/age_max:
# ---------------------------------
# | Alter | Mathe-Level | Themen |
# |-------|-------------|--------|
# | 5-6   | Zählen bis 20, +/- bis 10 | Farben, Tiere, Formen |
# | 7-8   | +/- bis 100, 2er/5er/10er Einmaleins | Jahreszeiten, Wochentage |
# | 8-9   | Einmaleins komplett, Division | Monate, Euro |
# | 9-10  | Schriftlich rechnen, Brüche ½ ¼ | Bundesländer |
# | 11-12 | Brüche, Dezimal, Prozent-Einstieg | Politik-Grundlagen |
# | 12-13 | Gleichungen, Dreisatz | Geschichte |
# | 13-14 | Lineare Funktionen, Pythagoras | Wirtschaft |
# | 14-15 | POTENZEN, Wurzeln √9 √16 | Demokratie |
# | 15-16 | Quadratische Gleichungen | Steuern-Grundlagen |
# | 16-18 | Ableitungen, Integrale | Komplexe Themen |
# | 18+   | Uni-Niveau | Fachthemen |
# ---------------------------------
#
# DIFFICULTY:
# 1 = Sehr leicht (age_min 5-7)
# 2 = Leicht (age_min 7-9)
# 3 = Mittel (age_min 9-12)
# 4 = Schwer (age_min 12-15)
# 5 = Sehr schwer (age_min 15+)
#
# BEISPIELE:
# ============================================================================

module,question,answer,wrong1,wrong2,wrong3,explanation,difficulty,age_min,age_max,source
erdkunde,Wie viele Bundesländer hat Deutschland?,16,14,15,17,Deutschland hat 16 Bundesländer seit der Wiedervereinigung 1990.,3,11,14,csv_import
erdkunde,Welcher Kontinent liegt südlich von Europa?,Afrika,Asien,Australien,Antarktis,Afrika liegt direkt südlich von Europa über das Mittelmeer.,3,11,14,csv_import

# === BITCOIN 12-14 Jahre (Grundlagen) ===
bitcoin,Wer hat Bitcoin erfunden?,Satoshi Nakamoto,Elon Musk,Bill Gates,Mark Zuckerberg,Satoshi Nakamoto ist das Pseudonym des Bitcoin-Erfinders. Die wahre Identität ist unbekannt.,4,12,99,csv_import
bitcoin,In welchem Jahr wurde Bitcoin veröffentlicht?,2009,2008,2010,2011,Bitcoin wurde am 3. Januar 2009 mit dem ersten Block (Genesis Block) gestartet.,4,12,99,csv_import

# === BITCOIN 14+ Jahre (Technisch) ===
bitcoin,Wie viele Satoshi sind 1 Bitcoin?,100.000.000,1.000.000,10.000.000,1.000.000.000,1 Bitcoin = 100 Millionen Satoshi. Satoshi ist die kleinste Einheit von Bitcoin.,4,14,99,csv_import
bitcoin,Was ist ein Bitcoin-Halving?,Halbierung der Block-Belohnung,Verdopplung des Preises,Halbierung der Transaktionen,Verdopplung der Miner,Etwa alle 4 Jahre wird die Belohnung für Miner halbiert. Das begrenzt die Bitcoin-Menge.,5,14,99,csv_import

# === STEUERN 16+ Jahre ===
steuern,Wie hoch ist der normale Mehrwertsteuersatz in Deutschland?,19%,16%,20%,21%,Der reguläre Mehrwertsteuersatz in Deutschland beträgt 19%. Für Lebensmittel gilt der ermäßigte Satz von 7%.,5,16,99,csv_import
steuern,Was ist der Unterschied zwischen Brutto und Netto?,Brutto ist vor Abzügen Netto ist nach Abzügen,Brutto ist mehr als Netto,Brutto ist für Firmen Netto für Privat,Kein Unterschied,Bruttolohn ist dein Gehalt vor Steuern und Sozialabgaben. Netto ist was auf deinem Konto ankommt.,5,16,99,csv_import

# ============================================================================
# HINWEIS: Beim CSV-Import werden die age_min/age_max Werte automatisch 
# validiert. Fragen mit falscher Alterszuordnung werden markiert.
# ============================================================================
