frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist die chemische Formel für Kochsalz?";"NaCl";"H₂O";"CO₂";"HCl";"A";"2";"8";"10";"formeln";"Kochsalz = NaCl (Natrium + Chlor).";""
"Was ist ein Atom?";"Ein Molekül";"Der kleinste Baustein eines Elements";"Ein Elektron";"Eine Zelle";"B";"2";"8";"10";"atome";"Ein ATOM ist der kleinste Baustein eines chemischen Elements.";""
"Woraus besteht ein Atom?";"Nur Protonen";"Protonen, Neutronen, Elektronen";"Nur Elektronen";"Nur Neutronen";"B";"2";"9";"11";"atome";"Ein Atom besteht aus PROTONEN, NEUTRONEN (im Kern) und ELEKTRONEN (in der Hülle).";""
"Wo befinden sich die Elektronen im Atom?";"Im Kern";"In der Hülle um den Kern";"Außerhalb des Atoms";"Zwischen den Atomen";"B";"2";"9";"11";"atome";"Elektronen befinden sich in der HÜLLE um den Atomkern.";""
"Was ist ein Proton?";"Negativ geladen";"Positiv geladen";"Neutral";"Nicht im Atom";"B";"3";"10";"12";"atome";"PROTONEN sind POSITIV geladen und befinden sich im Atomkern.";""
"Was ist ein Neutron?";"Negativ geladen";"Positiv geladen";"Neutral (ungeladen)";"Außerhalb des Atoms";"C";"3";"10";"12";"atome";"NEUTRONEN sind NEUTRAL (ungeladen) und im Atomkern.";""
"Was ist ein Elektron?";"Positiv geladen";"Negativ geladen";"Neutral";"Im Atomkern";"B";"3";"10";"12";"atome";"ELEKTRONEN sind NEGATIV geladen und umkreisen den Kern.";""
"Was ist ein Element?";"Eine Verbindung";"Ein Stoff aus nur einer Atomsorte";"Ein Gemisch";"Eine Lösung";"B";"2";"9";"11";"elemente";"Ein ELEMENT besteht aus nur einer Atomsorte (z.B. Gold, Sauerstoff).";""
"Wie viele Elemente gibt es im Periodensystem?";"50";"92";"118";"200";"C";"3";"10";"12";"elemente";"Es gibt 118 Elemente im Periodensystem.";""
"Was ist das häufigste Element im Universum?";"Sauerstoff";"Wasserstoff";"Kohlenstoff";"Helium";"B";"3";"10";"12";"elemente";"WASSERSTOFF ist das häufigste Element im Universum.";""
"Was ist das häufigste Element in der Erdkruste?";"Eisen";"Silizium";"Sauerstoff";"Aluminium";"C";"3";"11";"13";"elemente";"SAUERSTOFF ist das häufigste Element in der Erdkruste (ca. 46%).";""
"Welches Symbol hat Gold?";"Go";"Gd";"Au";"Ag";"C";"3";"10";"12";"elemente";"Gold = AU (vom lateinischen 'Aurum').";""
"Welches Symbol hat Silber?";"Si";"Sl";"Ag";"Ar";"C";"3";"10";"12";"elemente";"Silber = AG (vom lateinischen 'Argentum').";""
"Welches Symbol hat Eisen?";"Ei";"Ir";"Fe";"Es";"C";"3";"10";"12";"elemente";"Eisen = FE (vom lateinischen 'Ferrum').";""
"Welches Symbol hat Kupfer?";"Kp";"Kr";"Cu";"Co";"C";"3";"10";"12";"elemente";"Kupfer = CU (vom lateinischen 'Cuprum').";""
"Was ist ein Molekül?";"Ein einzelnes Atom";"Zwei oder mehr verbundene Atome";"Ein Elektron";"Ein Element";"B";"2";"9";"11";"molekuele";"Ein MOLEKÜL besteht aus zwei oder mehr chemisch verbundenen Atomen.";""
"Was ist der Unterschied zwischen Element und Verbindung?";"Kein Unterschied";"Element = eine Atomsorte, Verbindung = mehrere Atomsorten";"Element = groß, Verbindung = klein";"Element = neu, Verbindung = alt";"B";"3";"10";"12";"grundlagen";"ELEMENT = eine Atomsorte, VERBINDUNG = mehrere verschiedene Atomsorten.";""
"Was ist eine chemische Reaktion?";"Physikalische Änderung";"Umwandlung von Stoffen in neue Stoffe";"Mischen von Stoffen";"Trennen von Stoffen";"B";"2";"9";"11";"reaktionen";"Bei einer CHEMISCHEN REAKTION entstehen neue Stoffe mit neuen Eigenschaften.";""
"Was passiert bei einer Verbrennung?";"Nur Wärme entsteht";"Stoff reagiert mit Sauerstoff unter Energieabgabe";"Stoff wird kälter";"Nichts passiert";"B";"2";"9";"11";"reaktionen";"Bei einer VERBRENNUNG reagiert ein Stoff mit SAUERSTOFF und gibt Energie ab.";""
"Was braucht man für ein Feuer (Verbrennungsdreieck)?";"Nur Holz";"Brennstoff, Sauerstoff, Zündtemperatur";"Nur Wärme";"Nur Luft";"B";"2";"8";"10";"reaktionen";"Feuerdreieck: BRENNSTOFF + SAUERSTOFF + ZÜNDTEMPERATUR.";""
"Was ist Oxidation?";"Aufnahme von Elektronen";"Abgabe von Elektronen/Reaktion mit Sauerstoff";"Aufnahme von Protonen";"Abgabe von Neutronen";"B";"4";"12";"14";"reaktionen";"OXIDATION ist die Abgabe von Elektronen oder Reaktion mit Sauerstoff.";""
"Was ist Reduktion?";"Abgabe von Elektronen";"Aufnahme von Elektronen";"Verbrennung";"Verdampfung";"B";"4";"12";"14";"reaktionen";"REDUKTION ist die Aufnahme von Elektronen.";""
"Was ist Rost?";"Goldoxid";"Eisenoxid";"Kupferoxid";"Silberoxid";"B";"2";"9";"11";"reaktionen";"Rost ist EISENOXID (Fe₂O₃) - Eisen reagiert mit Sauerstoff und Wasser.";""
"Was ist ein Katalysator?";"Ein Reaktionsprodukt";"Stoff, der Reaktionen beschleunigt ohne verbraucht zu werden";"Ein Ausgangsstoff";"Ein Brennstoff";"B";"4";"12";"14";"reaktionen";"Ein KATALYSATOR beschleunigt Reaktionen, ohne selbst verbraucht zu werden.";""
"Was ist eine exotherme Reaktion?";"Reaktion, die Wärme aufnimmt";"Reaktion, die Wärme abgibt";"Sehr langsame Reaktion";"Sehr schnelle Reaktion";"B";"4";"12";"14";"reaktionen";"EXOTHERM = gibt Wärme ab (z.B. Verbrennung).";""
"Was ist eine endotherme Reaktion?";"Reaktion, die Wärme abgibt";"Reaktion, die Wärme aufnimmt";"Sehr langsame Reaktion";"Sehr schnelle Reaktion";"B";"4";"12";"14";"reaktionen";"ENDOTHERM = nimmt Wärme auf (z.B. Photosynthese).";""
"Was ist der pH-Wert?";"Temperatur";"Maß für Säure oder Base";"Druck";"Dichte";"B";"3";"10";"12";"saeuren_basen";"Der pH-WERT zeigt an, ob eine Lösung sauer, neutral oder basisch ist.";""
"Welchen pH-Wert hat eine Säure?";"Über 7";"Unter 7";"Genau 7";"14";"B";"3";"10";"12";"saeuren_basen";"Säuren haben pH UNTER 7 (je niedriger, desto saurer).";""
"Welchen pH-Wert hat eine Base (Lauge)?";"Unter 7";"Über 7";"Genau 7";"0";"B";"3";"10";"12";"saeuren_basen";"Basen haben pH ÜBER 7 (je höher, desto basischer).";""
"Welchen pH-Wert hat Wasser (neutral)?";"0";"7";"14";"1";"B";"3";"10";"12";"saeuren_basen";"Neutrales Wasser hat pH 7.";""
"Was entsteht, wenn Säure und Base reagieren?";"Nur Wasser";"Salz und Wasser";"Nur Salz";"Gas";"B";"3";"11";"13";"saeuren_basen";"Säure + Base = SALZ + WASSER (Neutralisation).";""
"Was ist Salzsäure (chemische Formel)?";"NaCl";"H₂SO₄";"HCl";"HNO₃";"C";"4";"11";"13";"saeuren_basen";"Salzsäure = HCl (Chlorwasserstoff).";""
"Was ist Schwefelsäure (chemische Formel)?";"HCl";"H₂SO₄";"HNO₃";"H₃PO₄";"B";"4";"12";"14";"saeuren_basen";"Schwefelsäure = H₂SO₄.";""
"Was ist Natronlauge (chemische Formel)?";"NaCl";"NaOH";"Na₂CO₃";"NaNO₃";"B";"4";"12";"14";"saeuren_basen";"Natronlauge = NaOH (Natriumhydroxid).";""
"Was ist ein Ion?";"Ein neutrales Atom";"Ein elektrisch geladenes Atom";"Ein Molekül";"Ein Neutron";"B";"3";"11";"13";"ionen";"Ein ION ist ein Atom, das Elektronen aufgenommen oder abgegeben hat.";""
"Was ist ein Kation?";"Negativ geladenes Ion";"Positiv geladenes Ion";"Neutrales Atom";"Ein Elektron";"B";"4";"12";"14";"ionen";"Ein KATION ist positiv geladen (hat Elektronen abgegeben).";""
"Was ist ein Anion?";"Positiv geladenes Ion";"Negativ geladenes Ion";"Neutrales Atom";"Ein Proton";"B";"4";"12";"14";"ionen";"Ein ANION ist negativ geladen (hat Elektronen aufgenommen).";""
"Was ist eine ionische Bindung?";"Bindung durch geteilte Elektronen";"Bindung durch Anziehung von Ionen";"Metallbindung";"Wasserstoffbrücke";"B";"4";"13";"15";"bindungen";"IONISCHE BINDUNG: Anziehung zwischen positiven und negativen Ionen.";""
"Was ist eine kovalente Bindung?";"Bindung durch Ionenaustausch";"Bindung durch geteilte Elektronen";"Metallbindung";"Keine echte Bindung";"B";"4";"13";"15";"bindungen";"KOVALENTE BINDUNG: Atome teilen sich Elektronenpaare.";""
"Was ist ein Metall?";"Nichtleiter";"Guter Leiter für Strom und Wärme";"Gas";"Isolator";"B";"2";"9";"11";"stoffklassen";"METALLE sind gute Leiter für Strom und Wärme und glänzend.";""
"Was ist ein Nichtmetall?";"Guter Leiter";"Schlechter Leiter, oft Gase";"Immer fest";"Immer flüssig";"B";"2";"9";"11";"stoffklassen";"NICHTMETALLE sind schlechte Leiter und oft Gase (z.B. Sauerstoff).";""
"Was ist ein Halbleiter?";"Sehr guter Leiter";"Leitet unter bestimmten Bedingungen";"Isolator";"Nichtmetall";"B";"4";"13";"15";"stoffklassen";"HALBLEITER leiten Strom unter bestimmten Bedingungen (z.B. Silizium).";""
"Was ist eine Lösung?";"Nur Wasser";"Homogenes Gemisch";"Heterogenes Gemisch";"Ein Element";"B";"2";"9";"11";"gemische";"Eine LÖSUNG ist ein homogenes Gemisch (gleichmäßig verteilt).";""
"Was ist das Lösungsmittel in Salzwasser?";"Salz";"Wasser";"Beides";"Keins";"B";"2";"9";"11";"gemische";"WASSER ist das Lösungsmittel, Salz ist der gelöste Stoff.";""
"Was ist eine Suspension?";"Homogenes Gemisch";"Heterogenes Gemisch mit Feststoff in Flüssigkeit";"Lösung";"Gas in Flüssigkeit";"B";"3";"11";"13";"gemische";"SUSPENSION: Feststoff schwebt in Flüssigkeit (z.B. Schlamm).";""
"Was ist eine Emulsion?";"Feststoff in Flüssigkeit";"Flüssigkeit in Flüssigkeit (nicht mischbar)";"Gas in Flüssigkeit";"Lösung";"B";"3";"11";"13";"gemische";"EMULSION: Zwei nicht mischbare Flüssigkeiten (z.B. Milch, Mayonnaise).";""
"Wie trennt man Salzwasser?";"Filtrieren";"Destillieren";"Sieben";"Magnetisch";"B";"3";"10";"12";"trennverfahren";"DESTILLATION: Wasser verdampft, Salz bleibt zurück.";""
"Wie trennt man Sand von Wasser?";"Destillieren";"Filtrieren";"Verdampfen";"Einfrieren";"B";"2";"9";"11";"trennverfahren";"FILTRATION: Sand bleibt im Filter, Wasser läuft durch.";""
"Was ist Chromatographie?";"Destillation";"Trennmethode nach Wanderungsgeschwindigkeit";"Filtration";"Zentrifugation";"B";"4";"13";"15";"trennverfahren";"CHROMATOGRAPHIE trennt Stoffe nach ihrer Wanderungsgeschwindigkeit.";""
"Was ist die Dichte?";"Masse";"Masse pro Volumen";"Volumen pro Masse";"Gewicht";"B";"3";"10";"12";"eigenschaften";"DICHTE = Masse / Volumen (z.B. g/cm³).";""
"Welches Alltagsmaterial hat eine höhere Dichte als Wasser?";"Holz";"Eisen";"Kork";"Öl";"B";"2";"9";"11";"eigenschaften";"EISEN hat höhere Dichte als Wasser und sinkt deshalb.";""
"Warum schwimmt Eis auf Wasser?";"Es ist leichter";"Eis hat geringere Dichte als flüssiges Wasser";"Es ist kälter";"Wegen der Form";"B";"3";"10";"12";"eigenschaften";"EIS hat geringere Dichte als flüssiges Wasser (Anomalie des Wassers).";""
"Was ist die Ordnungszahl im Periodensystem?";"Masse";"Anzahl der Protonen";"Anzahl der Neutronen";"Anzahl der Elektronen";"B";"3";"11";"13";"periodensystem";"ORDNUNGSZAHL = Anzahl der Protonen im Kern.";""
"Was gibt die Massenzahl an?";"Nur Protonen";"Protonen plus Neutronen";"Nur Neutronen";"Nur Elektronen";"B";"3";"11";"13";"periodensystem";"MASSENZAHL = Protonen + Neutronen.";""
"Was sind Isotope?";"Verschiedene Elemente";"Atome gleichen Elements mit unterschiedlicher Neutronenzahl";"Ionen";"Moleküle";"B";"4";"12";"14";"periodensystem";"ISOTOPE: Gleiche Protonenzahl, unterschiedliche Neutronenzahl.";""
"Was sind die Hauptgruppen im Periodensystem?";"Zeilen";"Spalten (1, 2 und 13-18)";"Farben";"Gewicht";"B";"4";"12";"14";"periodensystem";"HAUPTGRUPPEN sind die Spalten 1, 2 und 13-18 im Periodensystem.";""
"Was sind Edelgase?";"Sehr reaktive Gase";"Sehr unreaktive Gase mit voller Außenschale";"Giftige Gase";"Brennbare Gase";"B";"4";"12";"14";"periodensystem";"EDELGASE (Helium, Neon...) haben volle Außenschale und sind sehr unreaktiv.";""
"Was sind Halogene?";"Metalle";"Sehr reaktive Nichtmetalle der 17. Gruppe";"Edelgase";"Salze";"B";"4";"12";"14";"periodensystem";"HALOGENE (Fluor, Chlor...) sind sehr reaktive Nichtmetalle.";""
"Was sind Alkalimetalle?";"Sehr unreaktive Metalle";"Sehr reaktive Metalle der 1. Gruppe";"Edelmetalle";"Schwermetalle";"B";"4";"12";"14";"periodensystem";"ALKALIMETALLE (Lithium, Natrium...) sind sehr reaktive Metalle.";""
"Was ist eine Redoxreaktion?";"Nur Oxidation";"Oxidation und Reduktion zusammen";"Nur Reduktion";"Neutralisation";"B";"4";"13";"15";"reaktionen";"REDOXREAKTION: Oxidation und Reduktion finden gleichzeitig statt.";""
"Was ist Elektrochemie?";"Mechanik";"Chemische Reaktionen mit elektrischem Strom";"Optik";"Thermodynamik";"B";"5";"14";"17";"elektrochemie";"ELEKTROCHEMIE untersucht Zusammenhang zwischen Chemie und Elektrizität.";""
"Wie funktioniert eine Batterie?";"Mechanisch";"Chemische Energie wird in elektrische umgewandelt";"Licht wird zu Strom";"Wärme wird zu Strom";"B";"4";"12";"14";"elektrochemie";"In einer BATTERIE wird chemische Energie in elektrische umgewandelt.";""
"Was ist Elektrolyse?";"Chemische Reaktion ohne Strom";"Chemische Zersetzung durch elektrischen Strom";"Verbrennung";"Neutralisation";"B";"4";"13";"15";"elektrochemie";"ELEKTROLYSE: Chemische Zersetzung durch elektrischen Strom.";""
"Was ist organische Chemie?";"Chemie der Metalle";"Chemie der Kohlenstoffverbindungen";"Chemie der Gase";"Chemie ohne Kohlenstoff";"B";"4";"12";"14";"organische_chemie";"ORGANISCHE CHEMIE = Chemie der Kohlenstoffverbindungen.";""
"Was sind Kohlenwasserstoffe?";"Verbindungen aus Kohlenstoff und Sauerstoff";"Verbindungen aus Kohlenstoff und Wasserstoff";"Verbindungen aus Kohlenstoff und Stickstoff";"Nur Kohlenstoff";"B";"4";"12";"14";"organische_chemie";"KOHLENWASSERSTOFFE bestehen nur aus Kohlenstoff und Wasserstoff.";""
"Was ist Methan?";"C₂H₆";"CH₄";"C₃H₈";"CO₂";"B";"4";"12";"14";"organische_chemie";"Methan = CH₄ (einfachster Kohlenwasserstoff, Erdgas).";""
"Was sind Alkane?";"Ungesättigte Kohlenwasserstoffe";"Gesättigte Kohlenwasserstoffe (nur Einfachbindungen)";"Aromaten";"Alkohole";"B";"5";"14";"17";"organische_chemie";"ALKANE haben nur Einfachbindungen: Methan, Ethan, Propan...";""
"Was sind Alkene?";"Gesättigte Kohlenwasserstoffe";"Ungesättigte Kohlenwasserstoffe mit Doppelbindung";"Alkohol";"Aromaten";"B";"5";"14";"17";"organische_chemie";"ALKENE haben mindestens eine C=C Doppelbindung.";""
"Was ist Ethanol?";"CH₄";"C₂H₅OH";"CH₃OH";"C₆H₁₂O₆";"B";"4";"13";"15";"organische_chemie";"Ethanol = C₂H₅OH (Trinkalkohol).";""
"Was ist die funktionelle Gruppe eines Alkohols?";"COOH";"OH";"CHO";"NH₂";"B";"5";"14";"17";"organische_chemie";"Alkohole haben die funktionelle Gruppe -OH (Hydroxylgruppe).";""
"Was sind Polymere?";"Kleine Moleküle";"Große Moleküle aus vielen Wiederholeinheiten";"Einzelne Atome";"Ionen";"B";"4";"13";"15";"kunststoffe";"POLYMERE sind große Moleküle aus vielen Wiederholeinheiten (z.B. Plastik).";""
"Was ist Polyethylen?";"Ein Metall";"Ein Kunststoff aus Ethylen";"Ein Gas";"Eine Säure";"B";"4";"13";"15";"kunststoffe";"POLYETHYLEN (PE) ist ein Kunststoff aus vielen Ethylen-Einheiten.";""
"Was ist der Unterschied zwischen Thermoplast und Duroplast?";"Kein Unterschied";"Thermoplast schmilzt beim Erwärmen, Duroplast nicht";"Duroplast ist weicher";"Thermoplast ist härter";"B";"5";"14";"17";"kunststoffe";"THERMOPLASTE schmelzen beim Erwärmen, DUROPLASTE nicht.";""
"Was ist Biochemie?";"Chemie der Metalle";"Chemie der Lebewesen";"Chemie der Gase";"Anorganische Chemie";"B";"4";"13";"15";"biochemie";"BIOCHEMIE ist die Chemie der Lebewesen und biologischen Prozesse.";""
"Was sind Proteine?";"Zucker";"Eiweißstoffe aus Aminosäuren";"Fette";"Vitamine";"B";"4";"12";"14";"biochemie";"PROTEINE sind Eiweißstoffe, aufgebaut aus Aminosäuren.";""
"Was sind Kohlenhydrate?";"Eiweißstoffe";"Zucker und Stärke";"Fette";"Mineralstoffe";"B";"3";"10";"12";"biochemie";"KOHLENHYDRATE sind Zucker und Stärke - Energielieferanten.";""
"Was sind Lipide?";"Zucker";"Eiweiße";"Fette und fettähnliche Stoffe";"Vitamine";"C";"4";"12";"14";"biochemie";"LIPIDE sind Fette und fettähnliche Stoffe.";""
"Was ist die chemische Formel von Glucose?";"C₁₂H₂₂O₁₁";"C₆H₁₂O₆";"CH₄";"C₂H₅OH";"B";"5";"14";"17";"biochemie";"Glucose (Traubenzucker) = C₆H₁₂O₆.";""
