frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Wie viele Chromosomen hat ein Mensch?";"23";"46";"92";"12";"B";"3";"10";"12";"genetik";"Menschen haben 46 CHROMOSOMEN (23 Paare).";""
"Was ist Vererbung?";"Lernen";"Weitergabe von Eigenschaften an Nachkommen";"Training";"Erziehung";"B";"2";"8";"10";"genetik";"VERERBUNG ist die Weitergabe von genetischen Eigenschaften von Eltern zu Kindern.";""
"Wie viele Beine hat eine Spinne?";"6";"8";"10";"4";"B";"1";"5";"7";"tiere";"Spinnen haben 8 BEINE. Insekten haben 6.";""
"Wie viele Beine hat ein Insekt?";"4";"8";"6";"2";"C";"1";"5";"7";"tiere";"Insekten haben immer 6 BEINE.";""
"Was ist ein Säugetier?";"Ein Tier mit Schuppen";"Ein Tier, das seine Jungen mit Milch säugt";"Ein Tier mit Federn";"Ein Tier ohne Beine";"B";"1";"6";"8";"tiere";"SÄUGETIERE bringen lebende Junge zur Welt und säugen sie mit Milch.";""
"Welches Tier ist ein Säugetier?";"Frosch";"Delfin";"Schlange";"Adler";"B";"2";"7";"9";"tiere";"Der DELFIN ist ein Säugetier – er atmet Luft und säugt seine Jungen.";""
"Was ist ein Reptil?";"Warmblüter";"Kaltblütiges Tier mit Schuppen";"Tier mit Fell";"Tier mit Federn";"B";"2";"7";"9";"tiere";"REPTILIEN sind kaltblütig und haben Schuppen (Schlangen, Eidechsen, Krokodile).";""
"Was ist ein Amphibium?";"Nur Wassertier";"Tier, das im Wasser und an Land leben kann";"Nur Landtier";"Vogel";"B";"2";"7";"9";"tiere";"AMPHIBIEN leben im Wasser UND an Land (Frösche, Salamander, Molche).";""
"Wie atmen Fische?";"Mit Lungen";"Mit Kiemen";"Durch die Haut";"Gar nicht";"B";"1";"6";"8";"tiere";"Fische atmen mit KIEMEN, die Sauerstoff aus dem Wasser filtern.";""
"Was sind Wirbellose?";"Tiere mit Wirbelsäule";"Tiere ohne Wirbelsäule";"Nur Fische";"Nur Vögel";"B";"2";"8";"10";"tiere";"WIRBELLOSE haben keine Wirbelsäule (Insekten, Spinnen, Würmer, Quallen...).";""
"Was ist eine Nahrungskette?";"Eine Kette aus Essen";"Wer frisst wen in der Natur";"Ein Supermarkt";"Eine Pflanze";"B";"2";"8";"10";"oekologie";"Die NAHRUNGSKETTE zeigt, wer wen frisst: Pflanze → Pflanzenfresser → Fleischfresser.";""
"Was ist ein Produzent in der Nahrungskette?";"Ein Fleischfresser";"Eine Pflanze, die eigene Nahrung herstellt";"Ein Pflanzenfresser";"Ein Zersetzer";"B";"3";"9";"11";"oekologie";"PRODUZENTEN (Pflanzen) stellen ihre eigene Nahrung durch Photosynthese her.";""
"Was ist ein Konsument?";"Eine Pflanze";"Ein Tier, das andere Lebewesen frisst";"Ein Pilz";"Bakterien";"B";"3";"9";"11";"oekologie";"KONSUMENTEN sind Tiere, die andere Lebewesen fressen.";""
"Was ist ein Destruent?";"Ein Räuber";"Zersetzer wie Pilze und Bakterien";"Ein Pflanzenfresser";"Ein Produzent";"B";"3";"10";"12";"oekologie";"DESTRUENTEN (Zersetzer) bauen totes Material ab (Pilze, Bakterien).";""
"Was ist ein Ökosystem?";"Nur Tiere";"Lebensgemeinschaft von Lebewesen und ihrer Umwelt";"Nur Pflanzen";"Nur Wasser";"B";"3";"9";"11";"oekologie";"Ein ÖKOSYSTEM ist eine Lebensgemeinschaft aus Lebewesen und ihrer Umgebung.";""
"Was bedeutet Biodiversität?";"Wenige Arten";"Vielfalt des Lebens";"Nur eine Art";"Keine Tiere";"B";"3";"10";"12";"oekologie";"BIODIVERSITÄT bedeutet Artenvielfalt – viele verschiedene Lebewesen.";""
"Was ist Evolution?";"Schnelle Veränderung";"Langsame Entwicklung der Arten über Generationen";"Keine Veränderung";"Züchtung";"B";"3";"10";"12";"evolution";"EVOLUTION ist die langsame Veränderung und Anpassung von Arten über viele Generationen.";""
"Wer entwickelte die Evolutionstheorie?";"Einstein";"Charles Darwin";"Newton";"Mendel";"B";"3";"10";"12";"evolution";"CHARLES DARWIN entwickelte die Evolutionstheorie durch natürliche Selektion.";""
"Was ist natürliche Selektion?";"Züchtung";"Überleben der am besten Angepassten";"Zufällige Auswahl";"Menschliche Auswahl";"B";"4";"11";"13";"evolution";"NATÜRLICHE SELEKTION: Die am besten angepassten Lebewesen überleben und pflanzen sich fort.";""
"Was ist Anpassung?";"Veränderung des Wetters";"Eigenschaft, die beim Überleben hilft";"Eine Krankheit";"Eine Mutation";"B";"3";"9";"11";"evolution";"ANPASSUNG sind Eigenschaften, die einem Lebewesen beim Überleben helfen.";""
"Was ist eine Mutation?";"Eine Krankheit";"Veränderung im Erbgut";"Eine Anpassung";"Ein Virus";"B";"4";"11";"13";"genetik";"Eine MUTATION ist eine zufällige Veränderung in der DNA.";""
"Was ist das Herz?";"Ein Muskel zum Atmen";"Eine Pumpe für das Blut";"Ein Filter";"Ein Speicher";"B";"1";"6";"8";"koerper";"Das HERZ pumpt Blut durch den ganzen Körper.";""
"Wie oft schlägt das Herz etwa pro Minute?";"10 mal";"30 mal";"70 mal";"200 mal";"C";"2";"7";"9";"koerper";"Das Herz schlägt etwa 70 MAL pro Minute (bei Erwachsenen in Ruhe).";""
"Was transportiert das Blut?";"Nur Wasser";"Sauerstoff und Nährstoffe";"Nur Luft";"Nur Zucker";"B";"2";"7";"9";"koerper";"Das BLUT transportiert Sauerstoff, Nährstoffe und Abfallstoffe.";""
"Was sind rote Blutkörperchen?";"Abwehrzellen";"Zellen, die Sauerstoff transportieren";"Gerinnungszellen";"Nährstoffzellen";"B";"3";"9";"11";"koerper";"ROTE BLUTKÖRPERCHEN (Erythrozyten) transportieren Sauerstoff.";""
"Was sind weiße Blutkörperchen?";"Sauerstofftransporter";"Abwehrzellen gegen Krankheitserreger";"Gerinnungszellen";"Nährstoffzellen";"B";"3";"9";"11";"koerper";"WEISSE BLUTKÖRPERCHEN (Leukozyten) bekämpfen Krankheitserreger.";""
"Was ist das Immunsystem?";"Das Verdauungssystem";"Die Abwehr des Körpers gegen Krankheiten";"Das Nervensystem";"Das Skelett";"B";"2";"8";"10";"koerper";"Das IMMUNSYSTEM schützt den Körper vor Krankheitserregern.";""
"Was sind Antikörper?";"Viren";"Proteine, die Krankheitserreger bekämpfen";"Bakterien";"Zellen";"B";"4";"11";"13";"koerper";"ANTIKÖRPER sind Proteine, die vom Immunsystem gegen Erreger produziert werden.";""
"Was ist die Lunge?";"Ein Muskel";"Das Organ zum Atmen";"Ein Filter für Blut";"Ein Verdauungsorgan";"B";"1";"6";"8";"koerper";"Die LUNGE ist das Organ, mit dem wir atmen und Sauerstoff aufnehmen.";""
"Welches Gas atmen wir ein?";"Kohlendioxid";"Sauerstoff";"Stickstoff";"Wasserstoff";"B";"1";"6";"8";"koerper";"Wir atmen SAUERSTOFF ein und Kohlendioxid aus.";""
"Was macht der Magen?";"Pumpt Blut";"Verdaut Nahrung mit Säure";"Filtert Blut";"Produziert Sauerstoff";"B";"1";"7";"9";"koerper";"Der MAGEN verdaut Nahrung mit Magensäure.";""
"Was macht der Darm?";"Pumpt Blut";"Nimmt Nährstoffe aus der Nahrung auf";"Produziert Luft";"Speichert Wasser";"B";"2";"7";"9";"koerper";"Der DARM nimmt Nährstoffe auf und scheidet Abfälle aus.";""
"Was ist die Leber?";"Ein Muskel";"Organ, das Giftstoffe abbaut und Nährstoffe speichert";"Das Herz";"Die Lunge";"B";"3";"9";"11";"koerper";"Die LEBER entgiftet das Blut und speichert Nährstoffe.";""
"Was macht die Niere?";"Verdaut Nahrung";"Filtert das Blut und produziert Urin";"Pumpt Blut";"Atmet";"B";"3";"9";"11";"koerper";"Die NIEREN filtern das Blut und entfernen Abfallstoffe als Urin.";""
"Was ist das Gehirn?";"Ein Muskel";"Das Steuerzentrum des Körpers";"Ein Knochen";"Ein Organ für Verdauung";"B";"1";"6";"8";"koerper";"Das GEHIRN steuert alle Körperfunktionen und ermöglicht Denken und Fühlen.";""
"Was ist das Nervensystem?";"Das Verdauungssystem";"Netzwerk zur Informationsübertragung im Körper";"Das Blutsystem";"Das Immunsystem";"B";"3";"9";"11";"koerper";"Das NERVENSYSTEM überträgt Signale zwischen Gehirn und Körper.";""
"Was sind Neuronen?";"Blutzellen";"Nervenzellen";"Muskelzellen";"Knochenzellen";"B";"4";"11";"13";"koerper";"NEURONEN sind Nervenzellen, die elektrische Signale übertragen.";""
"Was ist ein Reflex?";"Bewusste Bewegung";"Automatische, schnelle Reaktion";"Langsame Bewegung";"Keine Bewegung";"B";"3";"9";"11";"koerper";"Ein REFLEX ist eine automatische, unbewusste Reaktion (z.B. Kniesehnenreflex).";""
"Wie viele Knochen hat ein erwachsener Mensch?";"106";"206";"306";"406";"B";"2";"8";"10";"koerper";"Ein erwachsener Mensch hat etwa 206 KNOCHEN.";""
"Was ist das Skelett?";"Die Haut";"Das Knochengerüst des Körpers";"Die Muskeln";"Die Organe";"B";"1";"6";"8";"koerper";"Das SKELETT gibt dem Körper Halt und schützt die Organe.";""
"Was verbindet Knochen miteinander?";"Muskeln";"Gelenke und Bänder";"Sehnen";"Haut";"B";"2";"8";"10";"koerper";"GELENKE und BÄNDER verbinden Knochen und ermöglichen Bewegung.";""
"Was ist ein Muskel?";"Ein Knochen";"Gewebe, das sich zusammenziehen kann";"Ein Organ";"Ein Nerv";"B";"2";"7";"9";"koerper";"MUSKELN können sich zusammenziehen und so Bewegung erzeugen.";""
"Was sind Bakterien?";"Viren";"Einzellige Mikroorganismen";"Pilze";"Pflanzen";"B";"2";"8";"10";"mikrobiologie";"BAKTERIEN sind winzige einzellige Lebewesen – manche nützlich, manche schädlich.";""
"Was ist ein Virus?";"Ein Bakterium";"Winziger Erreger, der Zellen befällt";"Ein Pilz";"Eine Zelle";"B";"2";"8";"10";"mikrobiologie";"VIREN sind winzige Erreger, die Zellen befallen und sich dort vermehren.";""
"Können Antibiotika gegen Viren helfen?";"Ja";"Nein";"Manchmal";"Immer";"B";"3";"10";"12";"mikrobiologie";"ANTIBIOTIKA wirken nur gegen Bakterien, NICHT gegen Viren!";""
"Was ist eine Impfung?";"Eine Krankheit";"Training für das Immunsystem";"Ein Medikament";"Eine Operation";"B";"2";"8";"10";"medizin";"Eine IMPFUNG trainiert das Immunsystem, Krankheiten zu erkennen und abzuwehren.";""
"Was ist Mitose?";"Zelltod";"Zellteilung zur Vermehrung";"Zellwachstum";"Zellatmung";"B";"4";"12";"14";"zellbiologie";"MITOSE ist die Zellteilung, bei der zwei identische Tochterzellen entstehen.";""
"Was ist Meiose?";"Zellteilung für Körperzellen";"Zellteilung für Geschlechtszellen";"Zelltod";"Zellwachstum";"B";"5";"13";"15";"zellbiologie";"MEIOSE ist die Zellteilung für Ei- und Samenzellen mit halbierter Chromosomenzahl.";""
"Was sind Hormone?";"Nerven";"Botenstoffe im Blut";"Zellen";"Knochen";"B";"3";"10";"12";"koerper";"HORMONE sind chemische Botenstoffe, die über das Blut Signale senden.";""
"Was ist Insulin?";"Ein Vitamin";"Ein Hormon zur Blutzuckerregulierung";"Ein Muskel";"Ein Nerv";"B";"4";"11";"13";"koerper";"INSULIN ist ein Hormon, das den Blutzuckerspiegel reguliert.";""
"Was ist Diabetes?";"Eine Allergie";"Störung der Blutzuckerregulierung";"Eine Infektion";"Ein Knochenbruch";"B";"3";"10";"12";"medizin";"Bei DIABETES ist die Blutzuckerregulierung gestört (zu wenig/kein Insulin).";""
"Was ist der Stoffwechsel?";"Nur Verdauung";"Alle chemischen Prozesse im Körper";"Nur Atmung";"Nur Bewegung";"B";"3";"10";"12";"koerper";"STOFFWECHSEL (Metabolismus) umfasst alle chemischen Reaktionen im Körper.";""
"Was ist ATP?";"Ein Vitamin";"Energiewährung der Zelle";"Ein Hormon";"Ein Protein";"B";"5";"14";"17";"zellbiologie";"ATP ist die 'Energiewährung' der Zelle – treibt fast alle Zellprozesse an.";""
"Was sind Enzyme?";"Hormone";"Proteine, die chemische Reaktionen beschleunigen";"Vitamine";"Zucker";"B";"4";"12";"14";"biochemie";"ENZYME sind Proteine, die als Katalysatoren chemische Reaktionen beschleunigen.";""
"Was ist Osmose?";"Zellteilung";"Wasserbewegung durch eine Membran";"Zellatmung";"Photosynthese";"B";"4";"12";"14";"zellbiologie";"OSMOSE ist die Bewegung von Wasser durch eine halbdurchlässige Membran.";""
"Was sind Proteine?";"Nur Muskeln";"Eiweiße mit vielen Funktionen";"Nur Enzyme";"Nur Hormone";"B";"3";"10";"12";"biochemie";"PROTEINE sind Eiweiße – wichtig für Struktur, Enzyme, Hormone, Immunabwehr.";""
"Woraus bestehen Proteine?";"Zucker";"Aminosäuren";"Fette";"Vitaminen";"B";"4";"11";"13";"biochemie";"Proteine bestehen aus AMINOSÄUREN (20 verschiedene).";""
"Was ist CRISPR?";"Ein Virus";"Methode zur Genbearbeitung";"Ein Hormon";"Ein Medikament";"B";"5";"15";"21";"genetik";"CRISPR ist eine revolutionäre Methode zur präzisen Bearbeitung von Genen.";""
"Was ist Klonen?";"Züchtung";"Erstellen einer genetisch identischen Kopie";"Kreuzung";"Mutation";"B";"4";"12";"14";"genetik";"KLONEN erstellt eine genetisch identische Kopie eines Lebewesens.";""
"Was ist ein Habitat?";"Eine Gewohnheit";"Der Lebensraum eines Organismus";"Ein Tier";"Eine Pflanze";"B";"3";"9";"11";"oekologie";"Das HABITAT ist der natürliche Lebensraum einer Art.";""
"Was bedeutet Symbiose?";"Konkurrenz";"Zusammenleben zum gegenseitigen Nutzen";"Feindschaft";"Isolation";"B";"3";"10";"12";"oekologie";"SYMBIOSE ist das Zusammenleben verschiedener Arten zum gegenseitigen Vorteil.";""
"Was ist Parasitismus?";"Gegenseitiger Nutzen";"Ein Organismus nutzt einen anderen aus";"Gleichberechtigte Partnerschaft";"Konkurrenz";"B";"4";"11";"13";"oekologie";"Bei PARASITISMUS profitiert einer auf Kosten des anderen (z.B. Zecke).";""
"Was ist der Kohlenstoffkreislauf?";"Nur Pflanzen";"Zirkulation von Kohlenstoff in der Natur";"Nur Tiere";"Nur Meere";"B";"4";"12";"14";"oekologie";"Der KOHLENSTOFFKREISLAUF beschreibt, wie Kohlenstoff durch Natur und Atmosphäre zirkuliert.";""
"Was sind Stammzellen?";"Spezialisierte Zellen";"Zellen, die sich zu verschiedenen Zelltypen entwickeln können";"Tote Zellen";"Krebszellen";"B";"5";"14";"17";"zellbiologie";"STAMMZELLEN können sich in verschiedene spezialisierte Zelltypen entwickeln.";""
"Was ist das Mikrobiom?";"Ein Mikroskop";"Gesamtheit der Mikroorganismen im/am Körper";"Ein Virus";"Eine Zelle";"B";"5";"14";"17";"mikrobiologie";"Das MIKROBIOM sind alle Mikroorganismen, die in und auf unserem Körper leben.";""
"Was ist Biolumineszenz?";"Tarnung";"Selbstleuchten von Lebewesen";"Schall";"Wärme";"B";"4";"11";"13";"tiere";"BIOLUMINESZENZ ist das Selbstleuchten von Lebewesen (z.B. Glühwürmchen, Tiefseefische).";""
"Was ist Metamorphose?";"Normales Wachstum";"Komplette Körperumwandlung (z.B. Raupe zu Schmetterling)";"Zellteilung";"Evolution";"B";"3";"9";"11";"tiere";"METAMORPHOSE ist die vollständige Verwandlung (Raupe → Puppe → Schmetterling).";""
"Was ist Winterschlaf?";"Tiefer Schlaf";"Zustand verringerter Körperfunktionen im Winter";"Normaler Schlaf";"Tod";"B";"2";"7";"9";"tiere";"Im WINTERSCHLAF senken Tiere Körpertemperatur und Stoffwechsel stark ab.";""
"Was ist Migration bei Tieren?";"Zellteilung";"Saisonale Wanderung";"Schlaf";"Jagd";"B";"3";"9";"11";"tiere";"MIGRATION ist die saisonale Wanderung von Tieren (z.B. Zugvögel).";""
"Was ist ein Räuber-Beute-Verhältnis?";"Freundschaft";"Beziehung zwischen Jäger und Gejagtem";"Symbiose";"Parasitismus";"B";"3";"10";"12";"oekologie";"RÄUBER-BEUTE-VERHÄLTNIS: Räuber jagen Beute, beide beeinflussen sich gegenseitig.";""
"Was sind invasive Arten?";"Einheimische Arten";"Fremde Arten, die Ökosysteme stören";"Ausgestorbene Arten";"Geschützte Arten";"B";"4";"11";"13";"oekologie";"INVASIVE ARTEN sind eingeschleppte Arten, die heimische Ökosysteme bedrohen.";""
"Was ist Artenschutz?";"Jagd";"Schutz bedrohter Tier- und Pflanzenarten";"Züchtung";"Klonen";"B";"3";"9";"11";"oekologie";"ARTENSCHUTZ schützt bedrohte Arten vor dem Aussterben.";""
"Was ist ein Genom?";"Ein Gen";"Die gesamte DNA eines Organismus";"Ein Chromosom";"Eine Zelle";"B";"5";"14";"17";"genetik";"Das GENOM ist die gesamte genetische Information eines Organismus.";""
"Was sind dominante und rezessive Gene?";"Gleich starke Gene";"Gene unterschiedlicher Stärke bei der Ausprägung";"Keine Gene";"Mutierte Gene";"B";"4";"12";"14";"genetik";"DOMINANTE Gene setzen sich durch, REZESSIVE werden nur bei doppeltem Vorhandensein sichtbar.";""
