frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Kann ein Geschaeft Bitcoin akzeptieren?";"Nein";"Ja mit Lightning oder On-Chain";"Nur grosse Firmen";"Nur in El Salvador";"B";"2";"9";"11";"nutzung";"Jedes Geschaeft kann BITCOIN akzeptieren - einfach mit Lightning fuer schnelle Zahlungen!";""
"Was ist der Unterschied zwischen On-Chain und Lightning?";"Keiner";"On-Chain ist auf der Blockchain, Lightning ist schneller daneben";"Lightning ist langsamer";"On-Chain ist kostenlos";"B";"4";"12";"14";"technologie";"ON-CHAIN ist direkt auf der Blockchain, LIGHTNING ist eine schnelle Zweite Ebene.";""
"Wie schnell ist eine Lightning-Zahlung?";"10 Minuten";"Sofort in Sekunden";"1 Stunde";"1 Tag";"B";"3";"10";"12";"technologie";"LIGHTNING Zahlungen sind SOFORT - in Sekunden oder weniger!";""
"Was kostet eine Lightning-Zahlung ungefaehr?";"1 Euro";"Meist unter einem Cent";"10 Euro";"Nichts";"B";"3";"10";"12";"technologie";"LIGHTNING Gebuehren sind minimal - oft unter einem CENT!";""
"Was ist ein Lightning Channel?";"Fernsehkanal";"Verbindung zwischen zwei Nutzern fuer Zahlungen";"Ein Fluss";"Ein Chat";"B";"4";"13";"15";"technologie";"Ein LIGHTNING CHANNEL ist eine direkte Verbindung fuer Zahlungen zwischen zwei Parteien.";""
"Was ist der Bitcoin Mempool?";"Ein Pool";"Warteschlange fuer unbestaetigte Transaktionen";"Ein Speicher";"Ein Block";"B";"4";"13";"15";"technologie";"Der MEMPOOL ist die Warteschlange - Miner waehlen Transaktionen mit hohen Gebuehren zuerst.";""
"Was passiert wenn der Mempool voll ist?";"Nichts";"Transaktionen mit niedrigen Gebuehren warten laenger";"Bitcoin stoppt";"Alle Transaktionen scheitern";"B";"4";"13";"15";"technologie";"Bei vollem MEMPOOL warten Transaktionen mit niedrigen Gebuehren - oder werden irgendwann geloescht.";""
"Was ist Bitcoin Core?";"Der Kern";"Die wichtigste Bitcoin Software";"Eine Hardware";"Eine Boerse";"B";"4";"13";"15";"technologie";"BITCOIN CORE ist die Referenz-Software fuer Bitcoin Nodes.";""
"Wer entwickelt Bitcoin weiter?";"Satoshi";"Open Source Entwickler weltweit";"Eine Firma";"Die Regierung";"B";"3";"11";"13";"entwicklung";"Bitcoin wird von OPEN SOURCE Entwicklern weltweit weiterentwickelt - niemand kontrolliert es allein.";""
"Was sind BIPs?";"Fehler";"Bitcoin Improvement Proposals - Verbesserungsvorschlaege";"Neue Coins";"Bugs";"B";"5";"14";"17";"entwicklung";"BIPs sind offizielle Vorschlaege fuer Bitcoin-Verbesserungen.";""
"Kann Bitcoin geaendert werden?";"Nein niemals";"Nur mit breitem Konsens der Nutzer";"Ja von Satoshi";"Ja von einer Firma";"B";"4";"12";"14";"entwicklung";"Aenderungen brauchen KONSENS - alle muessen zustimmen, sonst gibt es eine Fork.";""
"Was ist ein Soft Fork?";"Ein weiches Besteck";"Rueckwaerts-kompatibles Update";"Ein Hard Fork";"Ein Fehler";"B";"5";"14";"17";"technologie";"SOFT FORK ist ein Update das auch mit alter Software funktioniert.";""
"Was ist ein Hard Fork?";"Ein hartes Besteck";"Nicht kompatibles Update das die Kette spaltet";"Ein Soft Fork";"Ein Fehler";"B";"5";"14";"17";"technologie";"HARD FORK ist ein Update das nicht rueckwaerts-kompatibel ist - kann zur Spaltung fuehren.";""
"Ist Bitcoin Cash das gleiche wie Bitcoin?";"Ja";"Nein es ist ein Hard Fork von 2017";"Manchmal";"Es ist besser";"B";"4";"12";"14";"geschichte";"BITCOIN CASH entstand 2017 durch einen Hard Fork - es ist eine separate Kryptowaehrung.";""
"Was bedeutet Store of Value?";"Laden";"Wertspeicher der Wert ueber Zeit haelt";"Verkauf";"Sparen";"B";"4";"12";"14";"oekonomie";"STORE OF VALUE: Ein Gut das seinen Wert ueber lange Zeit behaelt - wie Gold oder Bitcoin.";""
"Warum vergleichen manche Bitcoin mit Gold?";"Weil es glaenzt";"Beide sind knapp, langlebig und nicht beliebig vermehrbar";"Weil es schwer ist";"Weil es teuer ist";"B";"3";"10";"12";"oekonomie";"Bitcoin ist wie DIGITALES GOLD: Knapp, teilbar, uebertragbar, langlebig, nicht faelschbar.";""
"Was ist besser an Bitcoin als an Gold?";"Die Farbe";"Leicht uebertragbar, teilbar, verifizierbar";"Das Gewicht";"Der Preis";"B";"4";"12";"14";"vergleich";"Bitcoin ist LEICHTER zu transportieren, zu teilen und zu pruefen als Gold.";""
"Wie kann man Bitcoin verdienen ohne zu kaufen?";"Gar nicht";"Durch Arbeit oder Verkauf von Waren";"Nur durch Mining";"Nur geschenkt";"B";"2";"9";"11";"nutzung";"Man kann Bitcoin fuer ARBEIT bekommen oder Waren und Dienste dafuer verkaufen.";""
"Was ist Bitcoin Stacking?";"Stapeln";"Regelmaessig Bitcoin ansparen";"Verkaufen";"Mining";"B";"2";"9";"11";"strategie";"STACKING bedeutet regelmaessig kleine Mengen Bitcoin anzusparen - Sats stacking!";""
"Was ist der Unterschied zwischen Sparen und Investieren?";"Keiner";"Sparen ist sicher, Investieren hat Risiko";"Sparen ist riskanter";"Investieren ist sicher";"B";"3";"10";"12";"finanzbildung";"SPAREN ist sicherer, INVESTIEREN hat mehr Risiko aber auch Chancen.";""
"Ist Bitcoin eine gute Investition?";"Ja immer";"Es hat Chancen und Risiken wie alles";"Nein niemals";"Nur fuer Reiche";"B";"3";"11";"13";"finanzbildung";"Bitcoin hat CHANCEN und RISIKEN - man sollte nur investieren was man verstanden hat!";""
"Warum sollte man nur investieren was man verlieren kann?";"Muss man nicht";"Weil der Preis auch fallen kann";"Weil es Diebe gibt";"Weil es Glueck ist";"B";"2";"9";"11";"finanzbildung";"Der Preis kann auch FALLEN - investiere nur was du verlieren koenntest!";""
"Was ist der Unterschied zwischen Zentralbank und Bitcoin?";"Keiner";"Zentralbank kann Geld drucken, Bitcoin nicht";"Bitcoin kann mehr";"Zentralbank ist dezentral";"B";"3";"10";"12";"vergleich";"ZENTRALBANKEN koennen unbegrenzt Geld drucken - bei Bitcoin geht das nicht!";""
"Wer druckt den Euro?";"Niemand";"Die Europaeische Zentralbank EZB";"Bitcoin";"Jede Bank";"B";"3";"10";"12";"vergleich";"Die EZB kontrolliert den Euro und kann beliebig viel davon schaffen.";""
"Was ist Fiat-Geld?";"Automarke";"Geld das von Regierungen ausgegeben wird";"Goldgeld";"Bitcoin";"B";"4";"12";"14";"oekonomie";"FIAT GELD ist staatliches Geld ohne physische Deckung - wie Euro oder Dollar.";""
"Warum heisst es Fiat Geld?";"Von Fiat Autos";"Fiat ist Latein fuer es werde";"Zufaellig";"Von einer Person";"B";"4";"13";"15";"oekonomie";"FIAT bedeutet auf Latein es werde - Geld entsteht durch Anordnung des Staates.";""
