frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"6 - 2 = ?";"3";"4";"5";"2";"B";"1";"6";"8";"subtraktion";"6 - 2 = 4. Sechs minus zwei ist vier.";""
"7 - 3 = ?";"3";"4";"5";"2";"B";"1";"6";"8";"subtraktion";"7 - 3 = 4. Sieben minus drei ergibt vier.";""
"8 - 4 = ?";"3";"4";"5";"2";"B";"1";"6";"8";"subtraktion";"8 - 4 = 4. Die Hälfte von acht ist vier.";""
"9 - 5 = ?";"3";"4";"5";"2";"B";"1";"6";"8";"subtraktion";"9 - 5 = 4. Neun minus fünf gleich vier.";""
"10 - 5 = ?";"4";"5";"6";"3";"B";"1";"6";"8";"subtraktion";"10 - 5 = 5. Die Hälfte von zehn ist fünf.";""
"7 + 5 = ?";"11";"12";"13";"10";"B";"2";"7";"9";"addition";"7 + 5 = 12. Sieben plus fünf ergibt zwölf.";""
"8 + 6 = ?";"13";"14";"15";"12";"B";"2";"7";"9";"addition";"8 + 6 = 14. Acht plus sechs ist vierzehn.";""
"9 + 7 = ?";"15";"16";"17";"14";"B";"2";"7";"9";"addition";"9 + 7 = 16. Neun plus sieben ergibt sechzehn.";""
"8 + 8 = ?";"15";"16";"17";"14";"B";"2";"7";"9";"addition";"8 + 8 = 16. Das Doppelte von acht ist sechzehn.";""
"9 + 9 = ?";"17";"18";"19";"16";"B";"2";"7";"9";"addition";"9 + 9 = 18. Neun mal zwei ist achtzehn.";""
"7 + 8 = ?";"14";"15";"16";"13";"B";"2";"7";"9";"addition";"7 + 8 = 15. Sieben plus acht ergibt fünfzehn.";""
"6 + 9 = ?";"14";"15";"16";"13";"B";"2";"7";"9";"addition";"6 + 9 = 15. Sechs plus neun ist fünfzehn.";""
"12 - 5 = ?";"6";"7";"8";"5";"B";"2";"7";"9";"subtraktion";"12 - 5 = 7. Zwölf minus fünf gleich sieben.";""
"14 - 6 = ?";"7";"8";"9";"6";"B";"2";"7";"9";"subtraktion";"14 - 6 = 8. Vierzehn minus sechs ist acht.";""
"15 - 7 = ?";"7";"8";"9";"6";"B";"2";"7";"9";"subtraktion";"15 - 7 = 8. Fünfzehn minus sieben ergibt acht.";""
"16 - 8 = ?";"7";"8";"9";"6";"B";"2";"7";"9";"subtraktion";"16 - 8 = 8. Die Hälfte von sechzehn ist acht.";""
"18 - 9 = ?";"8";"9";"10";"7";"B";"2";"7";"9";"subtraktion";"18 - 9 = 9. Die Hälfte von achtzehn ist neun.";""
"20 - 10 = ?";"9";"10";"11";"8";"B";"2";"7";"9";"subtraktion";"20 - 10 = 10. Zwanzig geteilt durch zwei ist zehn.";""
"3 × 4 = ?";"10";"11";"12";"14";"C";"2";"8";"10";"multiplikation";"3 × 4 = 12. Drei mal vier ist zwölf.";""
"5 × 3 = ?";"12";"14";"15";"18";"C";"2";"8";"10";"multiplikation";"5 × 3 = 15. Fünf mal drei ergibt fünfzehn.";""
"6 × 4 = ?";"20";"22";"24";"26";"C";"2";"8";"10";"multiplikation";"6 × 4 = 24. Sechs mal vier ist vierundzwanzig.";""
"7 × 3 = ?";"18";"20";"21";"24";"C";"2";"8";"10";"multiplikation";"7 × 3 = 21. Sieben mal drei ergibt einundzwanzig.";""
"8 × 5 = ?";"35";"38";"40";"45";"C";"2";"8";"10";"multiplikation";"8 × 5 = 40. Acht mal fünf ist vierzig.";""
"12 ÷ 3 = ?";"3";"4";"5";"6";"B";"2";"8";"10";"division";"12 ÷ 3 = 4. Zwölf geteilt durch drei ist vier.";""
"20 ÷ 4 = ?";"4";"5";"6";"7";"B";"2";"8";"10";"division";"20 ÷ 4 = 5. Zwanzig geteilt durch vier ergibt fünf.";""
"15 ÷ 5 = ?";"2";"3";"4";"5";"B";"2";"8";"10";"division";"15 ÷ 5 = 3. Fünfzehn geteilt durch fünf ist drei.";""
"24 ÷ 6 = ?";"3";"4";"5";"6";"B";"2";"8";"10";"division";"24 ÷ 6 = 4. Vierundzwanzig durch sechs ist vier.";""
"36 ÷ 9 = ?";"3";"4";"5";"6";"B";"2";"8";"10";"division";"36 ÷ 9 = 4. Sechsunddreißig durch neun ist vier.";""
"23 + 15 = ?";"36";"37";"38";"39";"C";"3";"9";"11";"addition";"23 + 15 = 38. Zuerst 23 + 10 = 33, dann + 5 = 38.";""
"34 + 27 = ?";"59";"60";"61";"62";"C";"3";"9";"11";"addition";"34 + 27 = 61. Man rechnet 34 + 30 - 3 = 61.";""
"45 + 36 = ?";"79";"80";"81";"82";"C";"3";"9";"11";"addition";"45 + 36 = 81. 45 + 35 + 1 = 81.";""
"52 - 18 = ?";"32";"33";"34";"35";"C";"3";"9";"11";"subtraktion";"52 - 18 = 34. 52 - 20 + 2 = 34.";""
"67 - 29 = ?";"36";"37";"38";"39";"C";"3";"9";"11";"subtraktion";"67 - 29 = 38. 67 - 30 + 1 = 38.";""
"84 - 47 = ?";"35";"36";"37";"38";"C";"3";"9";"11";"subtraktion";"84 - 47 = 37. 84 - 50 + 3 = 37.";""
"9 × 8 = ?";"70";"71";"72";"73";"C";"3";"9";"11";"multiplikation";"9 × 8 = 72. Neun mal acht ist zweiundsiebzig.";""
"7 × 7 = ?";"47";"48";"49";"50";"C";"3";"9";"11";"multiplikation";"7 × 7 = 49. Sieben zum Quadrat ist neunundvierzig.";""
"12 × 6 = ?";"70";"71";"72";"74";"C";"3";"9";"11";"multiplikation";"12 × 6 = 72. Zwölf mal sechs ist zweiundsiebzig.";""
"11 × 11 = ?";"111";"120";"121";"122";"C";"3";"9";"11";"multiplikation";"11 × 11 = 121. Elf zum Quadrat ist einhunderteinundzwanzig.";""
"144 ÷ 12 = ?";"10";"11";"12";"13";"C";"3";"9";"11";"division";"144 ÷ 12 = 12. Hundertvierundvierzig durch zwölf ist zwölf.";""
"81 ÷ 9 = ?";"7";"8";"9";"10";"C";"3";"9";"11";"division";"81 ÷ 9 = 9. Einundachtzig durch neun ist neun.";""
"56 ÷ 7 = ?";"6";"7";"8";"9";"C";"3";"9";"11";"division";"56 ÷ 7 = 8. Sechsundfünfzig durch sieben ist acht.";""
"Was ist 25% von 80?";"15";"18";"20";"25";"C";"3";"10";"12";"prozent";"25% von 80 = 20. Ein Viertel von 80 ist 20.";""
"Was ist 50% von 120?";"50";"55";"60";"65";"C";"3";"10";"12";"prozent";"50% von 120 = 60. Die Hälfte von 120 ist 60.";""
"Was ist 10% von 250?";"20";"25";"30";"35";"B";"3";"10";"12";"prozent";"10% von 250 = 25. Man teilt 250 durch 10.";""
"Was ist 75% von 40?";"25";"28";"30";"35";"C";"3";"10";"12";"prozent";"75% von 40 = 30. Drei Viertel von 40 ist 30.";""
"1/2 + 1/4 = ?";"1/4";"1/2";"3/4";"1";"C";"3";"10";"12";"brueche";"1/2 + 1/4 = 2/4 + 1/4 = 3/4.";""
"3/4 - 1/2 = ?";"1/8";"1/4";"1/2";"3/8";"B";"3";"10";"12";"brueche";"3/4 - 1/2 = 3/4 - 2/4 = 1/4.";""
"2/3 + 1/6 = ?";"3/6";"4/6";"5/6";"1";"C";"3";"10";"12";"brueche";"2/3 + 1/6 = 4/6 + 1/6 = 5/6.";""
"√16 = ?";"2";"3";"4";"8";"C";"4";"11";"13";"wurzel";"√16 = 4. Vier mal vier ist sechzehn.";""
"√81 = ?";"7";"8";"9";"10";"C";"4";"11";"13";"wurzel";"√81 = 9. Neun mal neun ist einundachtzig.";""
"√144 = ?";"10";"11";"12";"14";"C";"4";"11";"13";"wurzel";"√144 = 12. Zwölf mal zwölf ist hundertvierundvierzig.";""
"2³ = ?";"6";"8";"9";"12";"B";"4";"11";"13";"potenzen";"2³ = 2 × 2 × 2 = 8.";""
"3³ = ?";"9";"18";"27";"36";"C";"4";"11";"13";"potenzen";"3³ = 3 × 3 × 3 = 27.";""
"5² = ?";"10";"20";"25";"30";"C";"4";"11";"13";"potenzen";"5² = 5 × 5 = 25. Fünf zum Quadrat.";""
"Was ist der ggT von 12 und 18?";"2";"4";"6";"9";"C";"4";"12";"14";"ggt";"ggT(12,18) = 6. Sechs teilt beide Zahlen.";""
"Was ist das kgV von 4 und 6?";"6";"8";"12";"24";"C";"4";"12";"14";"kgv";"kgV(4,6) = 12. Zwölf ist das kleinste gemeinsame Vielfache.";""
"Löse: 2x + 5 = 15";"x = 3";"x = 4";"x = 5";"x = 10";"C";"4";"12";"14";"algebra";"2x + 5 = 15 → 2x = 10 → x = 5.";""
"Löse: 3x - 7 = 8";"x = 3";"x = 4";"x = 5";"x = 15";"C";"4";"12";"14";"algebra";"3x - 7 = 8 → 3x = 15 → x = 5.";""
"Löse: x/4 + 3 = 7";"x = 12";"x = 14";"x = 16";"x = 28";"C";"4";"12";"14";"algebra";"x/4 + 3 = 7 → x/4 = 4 → x = 16.";""
"Was ist 15% von 200?";"25";"28";"30";"35";"C";"3";"11";"13";"prozent";"15% von 200 = 30. 10% ist 20, plus 5% (10) = 30.";""
"Ein Rechteck hat a=5cm und b=8cm. Fläche?";"13 cm²";"26 cm²";"40 cm²";"80 cm²";"C";"3";"10";"12";"geometrie";"Fläche = a × b = 5 × 8 = 40 cm².";""
"Umfang eines Quadrats mit a=6cm?";"12 cm";"18 cm";"24 cm";"36 cm";"C";"3";"10";"12";"geometrie";"Umfang = 4 × a = 4 × 6 = 24 cm.";""
"Fläche eines Kreises mit r=7cm? (π≈3,14)";"43,96 cm²";"109,9 cm²";"153,86 cm²";"196 cm²";"C";"4";"12";"14";"geometrie";"A = π × r² = 3,14 × 49 ≈ 153,86 cm².";""
"Was ist der Umfang eines Kreises mit d=10cm?";"15,7 cm";"25,12 cm";"31,4 cm";"78,5 cm";"C";"4";"12";"14";"geometrie";"U = π × d = 3,14 × 10 = 31,4 cm.";""
"Pythagoras: a=3, b=4, c=?";"5";"6";"7";"12";"A";"4";"13";"15";"geometrie";"c² = a² + b² = 9 + 16 = 25 → c = 5.";""
"sin(30°) = ?";"0,25";"0,5";"0,707";"0,866";"B";"5";"14";"17";"trigonometrie";"sin(30°) = 1/2 = 0,5. Ein Standard-Wert.";""
"cos(60°) = ?";"0,25";"0,5";"0,707";"0,866";"B";"5";"14";"17";"trigonometrie";"cos(60°) = 1/2 = 0,5. Gleich wie sin(30°).";""
"tan(45°) = ?";"0";"0,5";"1";"2";"C";"5";"14";"17";"trigonometrie";"tan(45°) = 1. Bei 45° sind Gegenkathete und Ankathete gleich.";""
"log₁₀(100) = ?";"1";"2";"10";"100";"B";"5";"15";"18";"logarithmus";"log₁₀(100) = 2, weil 10² = 100.";""
"log₂(8) = ?";"2";"3";"4";"8";"B";"5";"15";"18";"logarithmus";"log₂(8) = 3, weil 2³ = 8.";""
"Ableitung von f(x) = x²?";"x";"2x";"x²";"2x²";"B";"5";"16";"21";"analysis";"f'(x) = 2x. Potenzregel: n × x^(n-1).";""
"Ableitung von f(x) = 3x³?";"3x²";"6x²";"9x²";"x³";"C";"5";"16";"21";"analysis";"f'(x) = 9x². Potenzregel: 3 × 3 × x².";""
"∫x dx = ?";"x";"x²";"x²/2 + C";"2x + C";"C";"5";"17";"21";"analysis";"∫x dx = x²/2 + C. Stammfunktion plus Konstante.";""
