frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Wie schliesst man ein Fenster?";"Alt+F4 oder X-Button";"Enter druecken";"Escape druecken";"Computer ausschalten";"A";"2";"7";"9";"grundlagen";"Das X oben rechts oder ALT+F4 schliesst das aktive Fenster.";""
"Was ist Minimieren?";"Loeschen";"Fenster in die Taskleiste verkleinern";"Maximieren";"Schliessen";"B";"2";"7";"9";"grundlagen";"MINIMIEREN versteckt das Fenster in der Taskleiste unten.";""
"Was ist Maximieren?";"Minimieren";"Fenster auf volle Bildschirmgroesse";"Schliessen";"Loeschen";"B";"2";"7";"9";"grundlagen";"MAXIMIEREN vergroessert das Fenster auf den ganzen Bildschirm.";""
"Was ist die Taskleiste?";"Das Desktop-Bild";"Leiste unten mit offenen Programmen";"Ein Ordner";"Ein Menue";"B";"1";"6";"8";"grundlagen";"Die TASKLEISTE zeigt offene Programme und wichtige Symbole.";""
"Was ist der Desktop?";"Ein Laptop";"Die Arbeitsoberflaeche mit Icons";"Ein Ordner";"Ein Programm";"B";"1";"6";"8";"grundlagen";"Der DESKTOP ist die Hauptoberflaeche mit Symbolen fuer Programme.";""
"Was ist ein Icon?";"Ein Computer";"Kleines Bildchen fuer Programme oder Dateien";"Ein Virus";"Ein Fenster";"B";"1";"6";"8";"grundlagen";"ICONS sind kleine Bilder die Programme oder Dateien darstellen.";""
"Was ist der Papierkorb?";"Ein echter Korb";"Ort fuer geloeschte Dateien";"Ein Ordner";"Ein Programm";"B";"1";"6";"8";"grundlagen";"Im PAPIERKORB landen geloeschte Dateien - sie koennen wiederhergestellt werden!";""
"Sind Dateien im Papierkorb endgueltig geloescht?";"Ja";"Nein erst wenn man ihn leert";"Manchmal";"Sofort";"B";"2";"7";"9";"grundlagen";"Dateien im Papierkorb koennen WIEDERHERGESTELLT werden bis man ihn leert!";""
"Was ist ein Texteditor?";"Ein Spiel";"Programm zum Schreiben von Text";"Ein Browser";"Ein Virus";"B";"2";"8";"10";"software";"Ein TEXTEDITOR ist ein einfaches Programm zum Schreiben wie Notepad.";""
"Was ist Microsoft Word?";"Ein Spiel";"Programm zur Textverarbeitung";"Ein Browser";"Ein Betriebssystem";"B";"2";"8";"10";"software";"WORD ist ein Programm zum Schreiben und Formatieren von Dokumenten.";""
"Was ist Microsoft Excel?";"Textverarbeitung";"Programm fuer Tabellen und Berechnungen";"Praesentation";"Browser";"B";"2";"9";"11";"software";"EXCEL ist ein Tabellenkalkulationsprogramm fuer Zahlen und Berechnungen.";""
"Was ist Microsoft PowerPoint?";"Textverarbeitung";"Programm fuer Praesentationen";"Tabellen";"Browser";"B";"2";"9";"11";"software";"POWERPOINT erstellt Praesentationen mit Folien.";""
"Was ist eine PDF-Datei?";"Ein Bild";"Dokument das ueberall gleich aussieht";"Ein Video";"Ein Programm";"B";"2";"9";"11";"dateiformate";"PDF-Dateien sehen auf jedem Computer gleich aus - gut zum Teilen!";""
"Was ist eine ZIP-Datei?";"Ein Bild";"Komprimierter Ordner mit Dateien";"Ein Video";"Ein Virus";"B";"3";"10";"12";"dateiformate";"ZIP komprimiert mehrere Dateien in eine kleinere Datei.";""
"Was bedeutet komprimieren?";"Vergroessern";"Dateien kleiner machen";"Loeschen";"Kopieren";"B";"3";"10";"12";"grundlagen";"KOMPRIMIEREN macht Dateien kleiner damit sie weniger Platz brauchen.";""
"Was ist eine JPG-Datei?";"Ein Video";"Ein Bildformat";"Ein Dokument";"Ein Programm";"B";"2";"8";"10";"dateiformate";"JPG ist ein beliebtes Format fuer Fotos und Bilder.";""
"Was ist eine PNG-Datei?";"Ein Video";"Bildformat mit Transparenz";"Ein Dokument";"Ein Programm";"B";"3";"10";"12";"dateiformate";"PNG ist ein Bildformat das auch durchsichtige Bereiche speichern kann.";""
"Was ist eine MP3-Datei?";"Ein Bild";"Ein Musikformat";"Ein Video";"Ein Dokument";"B";"2";"8";"10";"dateiformate";"MP3 ist ein beliebtes Format fuer Musikdateien.";""
"Was ist eine MP4-Datei?";"Ein Bild";"Ein Videoformat";"Ein Dokument";"Ein Musikformat";"B";"2";"8";"10";"dateiformate";"MP4 ist ein beliebtes Format fuer Videodateien.";""
"Was ist der Unterschied zwischen Speichern und Speichern unter?";"Kein Unterschied";"Speichern unter fragt nach neuem Namen oder Ort";"Speichern ist schneller";"Speichern unter loescht";"B";"2";"8";"10";"grundlagen";"SPEICHERN UNTER laesst dich Namen und Speicherort waehlen.";""
"Was ist ein Treiber?";"Ein Autofahrer";"Software damit Hardware funktioniert";"Ein Virus";"Ein Spiel";"B";"3";"11";"13";"software";"TREIBER sind Programme die Hardware mit dem Betriebssystem verbinden.";""
"Was passiert ohne den richtigen Treiber?";"Nichts";"Die Hardware funktioniert nicht richtig";"Der Computer explodiert";"Alles wird schneller";"B";"3";"11";"13";"software";"Ohne TREIBER erkennt der Computer die Hardware nicht oder sie funktioniert falsch.";""
"Was ist ein Systemabsturz?";"Update";"Computer reagiert nicht mehr und muss neugestartet werden";"Schneller Start";"Normaler Betrieb";"B";"2";"9";"11";"grundlagen";"Ein ABSTURZ bedeutet der Computer reagiert nicht mehr - Neustart noetig!";""
"Was ist der Bluescreen?";"Ein Bildschirmschoner";"Fehlermeldung bei schweren Windows-Problemen";"Ein Spiel";"Normaler Bildschirm";"B";"3";"10";"12";"grundlagen";"Der BLUESCREEN zeigt einen schweren Fehler in Windows an.";""
"Was ist der Task-Manager?";"Ein Spiel";"Zeigt laufende Programme und kann sie beenden";"Ein Virus";"Ein Browser";"B";"3";"10";"12";"software";"Der TASK-MANAGER zeigt alle Programme und kann haengende beenden mit Strg+Alt+Entf.";""
"Was ist Cache?";"Muell";"Zwischenspeicher fuer schnelleren Zugriff";"Ein Virus";"Ein Programm";"B";"4";"12";"14";"technologie";"CACHE speichert oft genutzte Daten fuer schnelleren Zugriff.";""
"Was ist ein Prozessorkern?";"Das Gehaeuse";"Eine Recheneinheit in der CPU";"Der Luefter";"Der Speicher";"B";"4";"12";"14";"hardware";"Moderne CPUs haben mehrere KERNE die gleichzeitig rechnen koennen.";""
"Was bedeutet Dual-Core?";"Ein Kern";"Prozessor mit zwei Kernen";"Vier Kerne";"Acht Kerne";"B";"3";"11";"13";"hardware";"DUAL-CORE bedeutet zwei Prozessorkerne - mehr Kerne bedeutet mehr Leistung.";""
"Was bedeutet Quad-Core?";"Ein Kern";"Prozessor mit vier Kernen";"Zwei Kerne";"Acht Kerne";"B";"3";"11";"13";"hardware";"QUAD-CORE bedeutet vier Prozessorkerne.";""
"Was ist Uebertakten?";"Langsamer machen";"CPU schneller laufen lassen als vorgesehen";"Ausschalten";"Kuehlen";"B";"5";"14";"17";"hardware";"UEBERTAKTEN erhoeht die Geschwindigkeit - kann aber zu Ueberhitzung fuehren!";""
"Was ist ein BIOS?";"Ein Spiel";"Grundprogramm das beim Start den Computer prueft";"Ein Virus";"Ein Browser";"B";"4";"13";"15";"software";"Das BIOS startet als erstes und prueft die Hardware bevor Windows laedt.";""
"Was ist UEFI?";"Ein Spiel";"Moderner Nachfolger des BIOS";"Ein Virus";"Ein Browser";"B";"5";"14";"17";"software";"UEFI ist der moderne Nachfolger des BIOS mit mehr Funktionen.";""
"Was ist Booten?";"Ein Schuh";"Den Computer starten";"Ausschalten";"Schlafen";"B";"2";"9";"11";"grundlagen";"BOOTEN bedeutet den Computer hochfahren und das Betriebssystem laden.";""
"Was ist der Bootvorgang?";"Herunterfahren";"Start des Computers bis zum Desktop";"Schlafen";"Absturz";"B";"3";"10";"12";"grundlagen";"Beim BOOTVORGANG wird Hardware geprueft und das Betriebssystem geladen.";""
"Was ist Standby-Modus?";"Ausgeschaltet";"Energiesparmodus - schnell wieder bereit";"Neustart";"Absturz";"B";"2";"8";"10";"grundlagen";"STANDBY spart Strom aber der Computer ist schnell wieder einsatzbereit.";""
"Was ist Ruhezustand?";"Standby";"Speichert alles auf Festplatte und schaltet ab";"Neustart";"Normalbetrieb";"B";"3";"10";"12";"grundlagen";"RUHEZUSTAND speichert den Zustand auf der Festplatte - braucht keinen Strom.";""
