frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
Welches Saeugetier kann nicht springen?;Elefant;Nilpferd;Beide;Keins von beiden;C;leicht;6;10;multiple_choice;Elefanten und Nilpferde sind die einzigen Saeugetiere die nicht springen koennen!;
Was ist das haeufigste Geraeusch auf der Erde?;Vogelgesang;Meeresrauschen;Krabbengeklapper;Windgeraeusche;C;schwer;12;18;multiple_choice;Das haeufigste Geraeusch im Ozean ist das Klappern von Pistolenkrebsen - lauter als die meisten anderen Tiere!;
Wie viele Muskeln braucht man zum Laecheln?;5;17;43;2;B;mittel;8;12;multiple_choice;Zum Laecheln braucht man etwa 17 Muskeln - zum Stirnrunzeln sogar 43!;
Welche Frucht ist eigentlich eine Beere?;Erdbeere;Banane;Himbeere;Brombeere;B;mittel;10;14;multiple_choice;Botanisch gesehen sind Bananen Beeren - Erdbeeren und Himbeeren aber nicht!;
Wie viel Prozent des Universums ist fuer uns unsichtbar?;50%;75%;95%;10%;C;schwer;14;21;multiple_choice;95% des Universums besteht aus Dunkler Materie und Dunkler Energie - voellig unsichtbar!;
Wie lang ist der laengste je gefundene Regenwurm?;10 cm;1 Meter;6,7 Meter;50 cm;C;mittel;8;12;multiple_choice;Der laengste Regenwurm wurde in Suedafrika gefunden und war 6,7 Meter lang!;
Wie heisst eine Gruppe Flamingos?;Herde;Schwarm;Flamboyance;Rudel;C;mittel;10;14;multiple_choice;Eine Gruppe Flamingos heisst Flamboyance - das bedeutet Extravaganz!;
Welches Tier kann seine Augen unabhaengig voneinander bewegen?;Hund;Chamaeleon;Katze;Fisch;B;leicht;5;8;multiple_choice;Chamaeleons koennen ihre Augen unabhaengig um 360 Grad drehen!;
Wie viele Gerueche kann eine menschliche Nase unterscheiden?;100;1.000;1 Billion;10.000;C;schwer;14;21;multiple_choice;Die menschliche Nase kann etwa 1 Billion verschiedene Gerueche unterscheiden!;
Was ist das einzige Lebensmittel das niemals verdirbt?;Salz;Honig;Reis;Zucker;B;mittel;8;12;multiple_choice;Honig verdirbt niemals - 3.000 Jahre alter Honig aus Aegypten war noch essbar!;
Wie viele Gehirnzellen verliert ein Mensch pro Tag?;100;10.000;50.000-100.000;1 Million;C;mittel;10;14;multiple_choice;Wir verlieren taeglich 50.000-100.000 Gehirnzellen - aber keine Sorge wir haben etwa 86 Milliarden!;
Welches Tier hat keinen Magen?;Seepferdchen;Hai;Wal;Pinguin;A;mittel;8;12;multiple_choice;Seepferdchen haben keinen Magen - ihr Essen geht direkt durch den Darm!;
Wie schnell kann ein Nieser sein?;50 km/h;100 km/h;160 km/h;10 km/h;C;leicht;6;10;multiple_choice;Ein Nieser kann bis zu 160 km/h schnell sein - halte immer die Hand vor!;
Was ist die haeufigste Augenfarbe der Welt?;Blau;Gruen;Braun;Grau;C;leicht;6;10;multiple_choice;Braun ist die haeufigste Augenfarbe - etwa 79% aller Menschen haben braune Augen!;
Wie viel Zeit verbringt ein Mensch durchschnittlich auf der Toilette im Leben?;6 Monate;3 Jahre;92 Tage;1 Woche;C;mittel;10;14;multiple_choice;Ein Mensch verbringt etwa 92 Tage seines Lebens auf der Toilette!;
Welches Tier hat die laengste Zunge im Verhaeltnis zum Koerper?;Giraffe;Chamaeleon;Ameisenbär;Frosch;B;mittel;8;12;multiple_choice;Die Zunge eines Chamaeleons ist 1,5 mal so lang wie sein Koerper!;
Wie viele Knochen hat ein Baby mehr als ein Erwachsener?;50;100;70;20;B;mittel;8;12;multiple_choice;Babys haben etwa 300 Knochen - Erwachsene nur 206! Viele Knochen wachsen zusammen.;
Welcher Planet hat die kuerzesten Tage?;Erde;Mars;Jupiter;Venus;C;mittel;10;14;multiple_choice;Ein Tag auf Jupiter dauert nur 10 Stunden - der schnellste Planet unseres Sonnensystems!;
Wie lang ist der laengste Stau aller Zeiten gewesen?;50 km;175 km;12 Tage lang;1000 km;C;schwer;12;18;multiple_choice;In China gab es 2010 einen Stau der 12 Tage dauerte und 100 km lang war!;
Was ist das seltenste Element auf der Erde?;Gold;Astat;Platin;Diamant;B;schwer;14;21;multiple_choice;Astat ist so selten dass es auf der ganzen Erde nur etwa 25 Gramm davon gibt!;
Wie viele Sprachen sterben jede Woche aus?;0;1;2;5;B;schwer;12;18;multiple_choice;Etwa eine Sprache stirbt jede Woche aus - von den 7.000 Sprachen sind viele bedroht!;
Welches Organ kann sich selbst regenerieren?;Herz;Leber;Gehirn;Niere;B;mittel;10;14;multiple_choice;Die Leber kann sich selbst regenerieren - sie kann bis zu 75% Verlust wieder aufbauen!;
Wie viele Ameisen gibt es pro Mensch auf der Erde?;1.000;1 Million;10 Millionen;100;B;mittel;8;12;multiple_choice;Es gibt etwa 1 Million Ameisen pro Mensch auf der Erde!;
Was ist der laengste Flug eines Huhns?;13 Sekunden;1 Minute;5 Minuten;Huehner fliegen nicht;A;leicht;6;10;multiple_choice;Der laengste Flug eines Huhns dauerte nur 13 Sekunden!;
Wie viel Prozent der Weltbevoelkerung hat schwarze Haare?;10%;50%;75-85%;25%;C;mittel;10;14;multiple_choice;75-85% aller Menschen haben schwarze Haare - die haeufigste Haarfarbe!;
Was ist die laengste Zeit die jemand wach geblieben ist?;3 Tage;11 Tage;1 Monat;1 Woche;B;schwer;12;18;multiple_choice;Randy Gardner blieb 1964 ganze 11 Tage wach - 264 Stunden ohne Schlaf!;
Welches Tier hat das groesste Gehirn im Verhaeltnis zum Koerper?;Elefant;Delfin;Ameise;Mensch;C;schwer;12;18;multiple_choice;Ameisen haben das groesste Gehirn im Verhaeltnis zum Koerper - es macht 15% ihres Gewichts aus!;
Wie viele Wimpern hat ein Mensch durchschnittlich?;50;200;90-160;500;B;mittel;8;12;multiple_choice;Ein Mensch hat etwa 200 Wimpern pro Auge die alle 3-5 Monate ausfallen und nachwachsen!;
Was ist das schnellste Tier der Welt?;Gepard;Wanderfalke;Hai;Pferd;B;mittel;8;12;multiple_choice;Der Wanderfalke erreicht im Sturzflug ueber 300 km/h - schneller als jedes andere Tier!;
Wie viele Liter Blut pumpt das Herz pro Tag?;100 Liter;2.000 Liter;7.500 Liter;500 Liter;C;schwer;12;18;multiple_choice;Das Herz pumpt etwa 7.500 Liter Blut pro Tag - genug um einen kleinen Pool zu fuellen!;
Welche Farbe hat ein Eisbärenfell wirklich?;Weiss;Durchsichtig;Braun;Grau;B;mittel;8;12;multiple_choice;Eisbaerenfell ist durchsichtig! Es erscheint nur weiss weil es Licht reflektiert.;
Wie viel wiegt die Haut eines Erwachsenen?;1 kg;3-4 kg;10 kg;500 g;B;mittel;10;14;multiple_choice;Die Haut wiegt etwa 3-4 kg und ist damit das schwerste Organ des Menschen!;
Welches Tier hat keine Stimme?;Giraffe;Fisch;Schlange;Schildkroete;A;mittel;8;12;multiple_choice;Giraffen haben keinen Stimmapparat - sie kommunizieren mit Infraschall den Menschen nicht hoeren!;
Wie alt ist das aelteste bekannte Rezept?;100 Jahre;500 Jahre;4.000 Jahre;50 Jahre;C;schwer;12;18;multiple_choice;Das aelteste Rezept ist 4.000 Jahre alt - es ist ein sumerisches Bierrezept!;
Was ist schwerer: Gehirn oder Haut?;Gehirn;Haut;Gleich schwer;Kommt drauf an;B;mittel;10;14;multiple_choice;Die Haut wiegt 3-4 kg das Gehirn nur 1,4 kg - die Haut ist viel schwerer!;
Wie viele verschiedene Gesichtsausdruecke kann ein Mensch machen?;50;500;10.000;100;C;schwer;14;21;multiple_choice;Menschen koennen ueber 10.000 verschiedene Gesichtsausdruecke machen!;
Welches Tier kann am laengsten schlafen?;Faultier;Koala;Katze;Igel;D;mittel;6;10;multiple_choice;Igel koennen bis zu 6 Monate am Stueck schlafen - den ganzen Winter!;
Wie viele Zähne hat ein Hai in seinem Leben?;50;500;30.000;100;C;mittel;8;12;multiple_choice;Haie verlieren staendig Zaehne und bekommen neue - bis zu 30.000 in ihrem Leben!;
Was ist das laengste Wort im Deutschen?;Donaudampfschifffahrt;Rindfleischetikettierung;Grundstuecksverkehrs-genehmigungszustaendig-keitsuebertragungsverordnung;Bundesausbildungs-foerderungsgesetz;C;schwer;14;21;multiple_choice;Das laengste deutsche Wort hatte 79 Buchstaben - ein Gesetzesname!;
Wie viele Blitze schlagen pro Sekunde auf der Erde ein?;1;10;100;1.000;C;mittel;10;14;multiple_choice;Etwa 100 Blitze schlagen jede Sekunde irgendwo auf der Erde ein!;
Welches Tier kann am hoechsten springen?;Kaenguru;Floh;Frosch;Heuschrecke;B;leicht;6;10;multiple_choice;Der Floh kann 150 mal seine eigene Koerperhoehe springen - das waere wie wenn du einen Wolkenkratzer ueberspringst!;
Wie lange braucht Licht von der Sonne zur Erde?;1 Sekunde;8 Minuten;1 Stunde;1 Tag;B;leicht;6;10;multiple_choice;Sonnenlicht braucht etwa 8 Minuten und 20 Sekunden bis es die Erde erreicht!;
Wie viele Geschmacksrichtungen kann die Zunge unterscheiden?;2;4;5;10;C;leicht;5;8;multiple_choice;Die Zunge kann 5 Geschmacksrichtungen erkennen: suess, sauer, salzig, bitter und umami!;
Welches Tier hat das beste Gedaechtnis?;Elefant;Delfin;Mensch;Hund;A;leicht;5;8;multiple_choice;Elefanten haben ein unglaubliches Gedaechtnis - sie erinnern sich an andere Elefanten auch nach Jahren!;
Was ist das kleinste Land der Welt?;Monaco;San Marino;Vatikanstadt;Liechtenstein;C;leicht;6;10;multiple_choice;Vatikanstadt ist mit 0,44 km² das kleinste Land der Welt - kleiner als ein Fussballstadion!;
Wie oft schlaegt das Herz eines Erwachsenen pro Tag?;1.000;10.000;100.000;1 Million;C;mittel;8;12;multiple_choice;Das Herz schlaegt etwa 100.000 mal am Tag - mehr als 36 Millionen mal im Jahr!;
