frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"50% von 80 = ?";"20";"30";"40";"50";"C";"3";"9";"11";"prozent";"50% von 80 ist 40. Die Haelfte von 80.";""
"Wie viele Ecken hat ein Dreieck?";"2";"3";"4";"5";"B";"1";"5";"7";"geometrie";"Ein DREIECK hat 3 Ecken und 3 Seiten.";""
"Wie viele Ecken hat ein Quadrat?";"3";"4";"5";"6";"B";"1";"5";"7";"geometrie";"Ein QUADRAT hat 4 gleich lange Seiten und 4 Ecken.";""
"Wie viele Seiten hat ein Sechseck?";"5";"6";"7";"8";"B";"2";"7";"9";"geometrie";"Ein SECHSECK hat 6 Seiten und 6 Ecken.";""
"Was ist der Umfang eines Quadrats mit Seite 5?";"15";"20";"25";"10";"B";"2";"8";"10";"geometrie";"Umfang = 4 x Seite = 4 x 5 = 20.";""
"Was ist die Flaeche eines Quadrats mit Seite 4?";"8";"12";"16";"20";"C";"2";"8";"10";"geometrie";"Flaeche = Seite x Seite = 4 x 4 = 16.";""
"Was ist die Flaeche eines Rechtecks 3 x 5?";"8";"12";"15";"18";"C";"2";"8";"10";"geometrie";"Flaeche = Laenge x Breite = 3 x 5 = 15.";""
"Wie berechnet man den Kreisumfang?";"2 x pi x r";"pi x r x r";"d x pi";"Alle richtig ausser B";"A";"3";"10";"12";"geometrie";"Kreisumfang = 2 x Pi x Radius oder Pi x Durchmesser.";""
"Was ist Pi ungefaehr?";"2,14";"3,14";"4,14";"1,14";"B";"3";"10";"12";"geometrie";"PI ist ungefaehr 3,14159... Eine besondere Zahl!";""
"Was ist x wenn x + 5 = 10?";"3";"4";"5";"6";"C";"2";"8";"10";"algebra";"x + 5 = 10, also x = 10 - 5 = 5.";""
"Was ist x wenn 2x = 12?";"4";"5";"6";"7";"C";"2";"8";"10";"algebra";"2x = 12, also x = 12 : 2 = 6.";""
"Was ist x wenn x - 3 = 7?";"4";"7";"10";"12";"C";"2";"8";"10";"algebra";"x - 3 = 7, also x = 7 + 3 = 10.";""
"Was ist 3 hoch 2?";"6";"8";"9";"12";"C";"2";"8";"10";"potenzen";"3 hoch 2 = 3 x 3 = 9.";""
"Was ist 2 hoch 3?";"6";"8";"9";"12";"B";"2";"8";"10";"potenzen";"2 hoch 3 = 2 x 2 x 2 = 8.";""
"Was ist 10 hoch 2?";"20";"100";"1000";"10000";"B";"2";"8";"10";"potenzen";"10 hoch 2 = 10 x 10 = 100.";""
"Was ist die Quadratwurzel von 16?";"2";"3";"4";"8";"C";"3";"9";"11";"wurzeln";"Wurzel aus 16 = 4, denn 4 x 4 = 16.";""
"Was ist die Quadratwurzel von 25?";"4";"5";"6";"7";"B";"3";"9";"11";"wurzeln";"Wurzel aus 25 = 5, denn 5 x 5 = 25.";""
"Was ist die Quadratwurzel von 100?";"5";"10";"20";"50";"B";"3";"9";"11";"wurzeln";"Wurzel aus 100 = 10, denn 10 x 10 = 100.";""
"Was ist eine Primzahl?";"Durch 2 teilbar";"Nur durch 1 und sich selbst teilbar";"Gerade Zahl";"Grosse Zahl";"B";"3";"9";"11";"zahlentheorie";"PRIMZAHLEN sind nur durch 1 und sich selbst teilbar.";""
"Welche ist eine Primzahl?";"4";"6";"7";"9";"C";"3";"9";"11";"zahlentheorie";"7 ist eine PRIMZAHL. 4, 6 und 9 sind teilbar.";""
"Welche ist keine Primzahl?";"11";"13";"15";"17";"C";"3";"9";"11";"zahlentheorie";"15 ist keine Primzahl, denn 15 = 3 x 5.";""
"Was ist der ggT von 12 und 18?";"2";"3";"6";"9";"C";"4";"10";"12";"zahlentheorie";"Der groesste gemeinsame Teiler ist 6.";""
"Was ist das kgV von 4 und 6?";"2";"6";"12";"24";"C";"4";"10";"12";"zahlentheorie";"Das kleinste gemeinsame Vielfache ist 12.";""
"Was ergibt -3 + 5?";"-8";"2";"8";"-2";"B";"3";"9";"11";"negative";"Minus drei plus fuenf ergibt zwei.";""
"Was ergibt -2 x -3?";"-6";"6";"-5";"5";"B";"3";"10";"12";"negative";"Minus mal minus ergibt plus! -2 x -3 = 6.";""
"Was ergibt 5 - 8?";"3";"-3";"13";"-13";"B";"3";"9";"11";"negative";"5 - 8 = -3. Das Ergebnis ist negativ.";""
"Was ist 0,5 als Bruch?";"1/3";"1/4";"1/2";"2/3";"C";"2";"8";"10";"dezimalzahlen";"0,5 = 1/2 oder ein Halb.";""
"Was ist 0,25 als Bruch?";"1/3";"1/4";"1/2";"1/5";"B";"2";"8";"10";"dezimalzahlen";"0,25 = 1/4 oder ein Viertel.";""
"Was ist 3/4 als Dezimalzahl?";"0,25";"0,5";"0,75";"0,34";"C";"3";"9";"11";"dezimalzahlen";"3/4 = 0,75 oder drei Viertel.";""
"Was ergibt 0,3 + 0,7?";"0,10";"0,37";"1";"1,0";"C";"2";"8";"10";"dezimalzahlen";"0,3 + 0,7 = 1,0 oder einfach 1.";""
"Was ergibt 1,5 x 2?";"2,5";"3";"3,5";"4";"B";"2";"8";"10";"dezimalzahlen";"1,5 x 2 = 3. Eineinhalb mal zwei ist drei.";""
"Was ist ein rechter Winkel?";"45 Grad";"90 Grad";"180 Grad";"360 Grad";"B";"2";"8";"10";"geometrie";"Ein RECHTER WINKEL hat 90 Grad - wie eine Ecke.";""
"Wie viel Grad hat ein Kreis?";"90";"180";"270";"360";"D";"2";"8";"10";"geometrie";"Ein Kreis hat 360 GRAD.";""
"Wie viele Grad hat ein Dreieck insgesamt?";"90";"180";"270";"360";"B";"3";"10";"12";"geometrie";"Alle Winkel im Dreieck zusammen = 180 GRAD.";""
"Was ist ein gleichseitiges Dreieck?";"Alle Seiten verschieden";"Alle Seiten gleich lang";"Zwei Seiten gleich";"Rechter Winkel";"B";"2";"8";"10";"geometrie";"GLEICHSEITIG bedeutet alle drei Seiten sind gleich lang.";""
"Was ist der Durchmesser?";"Halber Radius";"Doppelter Radius";"Umfang";"Flaeche";"B";"2";"8";"10";"geometrie";"DURCHMESSER = 2 x Radius. Die laengste Linie durch den Kreis.";""
"Was ist ein Parallelogramm?";"Quadrat";"Viereck mit parallelen Seiten";"Dreieck";"Kreis";"B";"3";"10";"12";"geometrie";"Ein PARALLELOGRAMM hat gegenueberliegende parallele Seiten.";""
"Was bedeutet parallel?";"Sich kreuzend";"Gleicher Abstand, treffen sich nie";"Senkrecht";"Diagonal";"B";"2";"8";"10";"geometrie";"PARALLELE Linien haben gleichen Abstand und treffen sich nie.";""
"Was ist eine Symmetrieachse?";"Linie die teilt";"Spiegellinie wo beide Haelften gleich sind";"Diagonale";"Senkrechte";"B";"2";"8";"10";"geometrie";"An der SYMMETRIEACHSE sind beide Seiten spiegelgleich.";""
"Punkt vor Strich bedeutet?";"Erst plus und minus";"Erst mal und geteilt";"Von links nach rechts";"Egal";"B";"2";"8";"10";"rechenregeln";"PUNKT vor STRICH: Erst multiplizieren/dividieren, dann addieren/subtrahieren.";""
